smiles,pKa,pKa_type
CCCCC/C(N)=N/[NH+](C)C,10.4,basic
CCCCC1CCC[NH+]1C,10.01,basic
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,7.85,basic
CCCCCC(C)(C)[NH3+],10.83,basic
CCCCCC(C)N,10.58,basic
CCCCCC(C)NC,10.99,basic
CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,3.75,basic
CCCCCC(C)[NH2+]C,10.99,basic
CCCCCC(C)[NH3+],11.15,basic
CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC,7.55,basic
CCCCCCCCCCCC(=O)NCCCC[C@H]([NH3+])C(=O)OC,9.1,basic
CCCCCCCCCCCC(=O)N[C@@H](CCCC[NH3+])C(=O)OC,10,basic
CCCCCCCCCCCCCC(=O)NCCCC[C@H]([NH3+])C(=O)OC,7.8,basic
CCCCCCCCCCCCCCCCCCCCCC[NH3+],10.6,basic
CCCCCCCCCCCCCCCCCCN,10.65,basic
CCCCCCCCCCCCCCCCCCNCC(F)(F)F,4.7,basic
CCCCCCCCCCCCCCCCCC[NH+](CC(C)O)CC(C)O,9.4,basic
CCCCCCCCCCCCCCCCCC[NH3+],10.6,basic
CCCCCCCCCCCCCCCCC[NH3+],10.6,basic
CCCCCCCCCCCCCCCCCc1c2ccccc2nc2ccccc12,5.5,basic
CCCCCCCCCCCCCCCCNCC(F)(F)F,5.2,basic
CCCCCCCCCCCCCCCC[NH+](CC(C)O)CC(C)O,9.19,basic
CCCCCCCCCCCCCCCC[NH3+],10.61,basic
CCCCCCCCCCCCCCC[NH2+]CCCCCCCCCCCCCCC,11,basic
CCCCCCCCCCCCCCC[NH3+],10.61,basic
CCCCCCCCCCCCCC[NH+](CC(C)O)CC(C)O,8.4,basic
CCCCCCCCCCCCCC[NH+](CC(C)O)CC(O)CC,6.1,basic
CCCCCCCCCCCCCC[NH+](CCO)CC(C)O,6.3,basic
CCCCCCCCCCCCCC[NH+](CCO)CC(O)CC,6.1,basic
CCCCCCCCCCCCCC[NH3+],10.62,basic
CCCCCCCCCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.7,basic
CCCCCCCCCCCCC[NH2+]CCCCCCCCCCCCC,11,basic
CCCCCCCCCCCCC[NH3+],10.63,basic
CCCCCCCCCCCCCc1ccccn1,5.6,basic
CCCCCCCCCCCCCc1ccncc1,5.9,basic
CCCCCCCCCCCCN,10.63,basic
CCCCCCCCCCCCNCC(F)(F)F,5.5,basic
CCCCCCCCCCCCNCC(F)F,7.5,basic
CCCCCCCCCCCCNc1ccccc1,4.12,basic
CCCCCCCCCCCC[NH+](CC(C)O)CC(C)O,7.8,basic
CCCCCCCCCCCC[NH+](CC(C)O)CC(O)CC,6.2,basic
CCCCCCCCCCCC[NH+](CCO)CC(C)O,6.5,basic
CCCCCCCCCCCC[NH+](CCO)CC(O)CC,6.4,basic
CCCCCCCCCCCC[NH+]1CCOCC1,7.6,basic
CCCCCCCCCCCC[NH2+]CCCCCCCCCCCC,11,basic
CCCCCCCCCCCC[NH3+],10.615,basic
CCCCCCCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.1,basic
CCCCCCCCCCC[NH2+]Cc1ccc(C)cc1,9.46,basic
CCCCCCCCCCC[NH3+],10.63,basic
CCCCCCCCCCCn1cc(CC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,9.1,basic
CCCCCCCCCCN,10.64,basic
CCCCCCCCCCNc1ccccc1,4.56,basic
CCCCCCCCCC[NH+](CC(C)O)CC(C)O,7.6,basic
CCCCCCCCCC[NH+](CC(C)O)CC(O)CC,6.7,basic
CCCCCCCCCC[NH+](CC(O)CC)CC(O)CC,6.6,basic
CCCCCCCCCC[NH+](CCO)CC(C)O,7.5,basic
CCCCCCCCCC[NH+](CCO)CC(O)CC,7.2,basic
CCCCCCCCCC[NH2+]Cc1ccc(C)cc1,9.48,basic
CCCCCCCCCC[NH3+],10.64,basic
CCCCCCCCCCn1cc(CCC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,9.9,basic
CCCCCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.1,basic
CCCCCCCCCN,10.64,basic
CCCCCCCCCNCc1ccc(C)cc1,9.48,basic
CCCCCCCCC[NH2+]Cc1ccc(C)cc1,9.48,basic
CCCCCCCCCn1cc(CC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,9.1,basic
CCCCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.1,basic
CCCCCCCCCn1ccnc1,6.6,basic
CCCCCCCCN,10.65,basic
CCCCCCCCNCC(F)(F)F,5.9,basic
CCCCCCCCNCc1ccc(C)cc1,9.47,basic
CCCCCCCCOCC[NH+](C)C,8.87,basic
CCCCCCCC[NH+](CC(C)O)CC(C)O,8.3,basic
CCCCCCCC[NH+](CC(C)O)CC(O)CC,8.1,basic
CCCCCCCC[NH+](CC(O)CC)CC(O)CC,7.5,basic
CCCCCCCC[NH+](CCO)CC(C)O,8.2,basic
CCCCCCCC[NH+](CCO)CC(O)CC,8.3,basic
CCCCCCCC[NH+]1CCCCC1,8.28,basic
CCCCCCCC[NH2+]Cc1ccc(C)cc1,9.47,basic
CCCCCCCC[NH3+],10.76,basic
CCCCCCCCn1cc(CCC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,9.4,basic
CCCCCCCCn1cc(CC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,9.1,basic
CCCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.7,basic
CCCCCCCN,10.66,basic
CCCCCCCN(CCCCCCC)c1ccccc1,3.33,basic
CCCCCCCNCc1ccc(C)cc1,10.02,basic
CCCCCCCNc1c2ccc(Cl)cc2[nH+]c2ccc(OC)cc12,7.5,basic
CCCCCCCNc1ccccc1,5.09,basic
CCCCCCC[NH2+]Cc1ccc(C)cc1,10.02,basic
CCCCCCC[NH3+],10.34,basic
CCCCCCN,10.64,basic
CCCCCCN(CC(C)O)CC(C)O,8.5,basic
CCCCCCN(CC(C)O)CC(O)CC,8.9,basic
CCCCCCN(CCCCCC)c1ccccc1,4.89,basic
CCCCCCN(CCO)CC(C)O,9,basic
CCCCCCN(CCO)CC(O)CC,9.1,basic
CCCCCCNCCCCCC,11.01,basic
CCCCCCNCc1ccc(C)cc1,10.17,basic
CCCCCCNc1ccccc1,5.21,basic
CCCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCCCC[NH+](CC(C)O)CC(C)O,8.5,basic
CCCCCC[NH+](CC(C)O)CC(O)CC,8.9,basic
CCCCCC[NH+](CC(O)CC)CC(O)CC,8.6,basic
CCCCCC[NH+](CCO)CC(C)O,9,basic
CCCCCC[NH+](CCO)CC(O)CC,9.1,basic
CCCCCC[NH2+]CCCCCC,11.01,basic
CCCCCC[NH2+]Cc1ccc(C)cc1,10.17,basic
CCCCCC[NH3+],10.68,basic
CCCCCCn1cc(CCC[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,10.4,basic
CCCCCCn1ccnc1,7.2,basic
CCCCCN,10.63,basic
CCCCCN(C1=NCCN1)c1c(Br)cccc1Br,11,basic
CCCCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11,basic
CCCCCN(CC(C)O)CC(C)O,9,basic
CCCCCN(CC(C)O)CC(O)CC,9.1,basic
CCCCCN(CC(O)CC)CC(O)CC,9.2,basic
CCCCCN(CCO)CC(C)O,8.9,basic
CCCCCN(CCO)CC(O)CC,9.1,basic
CCCCCNC1=[NH+]CCN1OCCCc1ccccc1,10,basic
CCCCCNC1=[NH+]CCN1OCCc1ccccc1,9.9,basic
CCCCCNC1=[NH+]CCN1OCc1ccccc1,10.1,basic
CCCCCNCCCCC,11.18,basic
CCCCCNCc1ccc(C)cc1,10.08,basic
CCCCCNN,6.25,basic
CCCCCNc1ccccc1,5.2,basic
CCCCCNc1nc2ccccc2n1CCc1ccccc1,7.4,basic
CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCCCSC(=N)c1ccccc1,8.5,basic
CCCCCSC1=[NH+]CCN1OCc1ccccc1,8.5,basic
CCCCC[C@H](C)[NH3+],10.8,basic
CCCCC[NH+](CC(C)O)CC(C)O,9,basic
CCCCC[NH+](CC(C)O)CC(O)CC,9.1,basic
CCCCC[NH+](CC(O)CC)CC(O)CC,9.2,basic
CCCCC[NH+](CCO)CC(C)O,8.9,basic
CCCCC[NH+](CCO)CC(O)CC,9.1,basic
CCCCC[NH2+]CCCCC,11.18,basic
CCCCC[NH2+]Cc1ccc(C)cc1,10.08,basic
CCCCC[NH3+],10.65,basic
CCCCCc1cccnn1,3.7,basic
CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccncc21,5.83,basic
CCCCCn1cc(C(=O)c2cccc3ccccc23)c2cnccc21,6.49,basic
CCCCCn1ccnc1,7.12,basic
CCCCN,10.78,basic
CCCCN(C)C,10.19,basic
CCCCN(C)N(C)CCCC,7.16,basic
CCCCN(C1=NCCN1)c1c(Br)cccc1Br,10.97,basic
CCCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.97,basic
CCCCN(CCCC)CCCC,10.89,basic
CCCCN(CCCC)c1ccccc1,6.41,basic
CCCCN(CCCC)c1nnc(-c2ccccc2)cc1C,4.88,basic
CCCCN1CC1,7.86,basic
CCCCN=C(C)N[NH+](C)C,10.4,basic
CCCCNC,10.9,basic
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]([NH3+])C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C,9.13,basic
CCCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCCNCC(=O)Nc1c(C)cccc1C,8.04,basic
CCCCNCCC#N,8.3,basic
CCCCNCCCC,11.39,basic
CCCCNCc1ccc(C)cc1,9.98,basic
CCCCNCc1ccccc1,9.46,basic
CCCCNN,7.82,basic
CCCCNc1c(N(C)CCC[NH+](C)C)c(=O)c1=O,8.8,basic
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,8.6,basic
CCCCNc1ccccc1,5.12,basic
CCCCNc1ncnc2c1cnn2C,4.22,basic
CCCCNc1nnc(-c2ccccc2)cc1C,6.1,basic
CCCCOC(=N)c1ccccc1,6.09,basic
CCCCOC(=O)[C@@H]([NH3+])CCC(=O)NCCSC(C)=O,8.69,basic
CCCCOC(=O)c1ccc(N)cc1,2.47,basic
CCCCOC1(c2ccccc2)CN(C)CCO1,7.73,basic
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,8.85,basic
CCCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1,8.85,basic
CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,9,basic
CCCCOc1ccc(OCCC[NH+]2CCOCC2)cc1,6.24,basic
CCCCOc1noc2c1C[NH2+]CC2,7.6,basic
CCCCSC(=N)c1ccccc1,8.21,basic
CCCCSC1=[NH+]CCN1,9,basic
CCCCSCC[NH+](CC)CC,8.43,basic
CCCCSCC[NH3+],8.37,basic
CCCC[NH+](C)C,10.03,basic
CCCC[NH+](CC(C)O)CC(C)O,9.3,basic
CCCC[NH+](CC1CO1)CC1CO1,6.91,basic
CCCC[NH+](CCCC)CCCC,10.8,basic
CCCC[NH+](CCCl)CCCl,6.63,basic
CCCC[NH+]1CCCC1,10.36,basic
CCCC[NH+]1CCCC1C,10.65,basic
CCCC[NH+]1CCCCC1,10.47,basic
CCCC[NH+]1CCCCC1C,10.7,basic
CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,7.715,basic
CCCC[NH+]=C(N)[NH+]=C(N)Nc1ccc(Cl)cc1,10.78,basic
CCCC[NH+]=C1Nc2ccccc2C(C)N1,10.7,basic
CCCC[NH2+]C,10.8,basic
CCCC[NH2+]CC(=O)Nc1c(C)cccc1C,8.04,basic
CCCC[NH2+]CCCC,11.29,basic
CCCC[NH2+]Cc1ccc(C)cc1,9.98,basic
CCCC[NH2+]Cc1ccccc1,9.46,basic
CCCC[NH3+],10.723333,basic
CCCCc1ccccc1N,4.26,basic
CCCCc1cccnn1,3.49,basic
CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1,4.5,basic
CCCCc1nc(N)c2ncsc2n1,3.49,basic
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,9.06,basic
CCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.2,basic
CCCCn1ccnc1,7.14,basic
CCCCn1cnc2ccccc21,5.31,basic
CCCN,10.71,basic
CCCN(C)C,10.2,basic
CCCN(C)N,7.35,basic
CCCN(C)N(C)CCC,7.05,basic
CCCN(C)c1ccccc1,5.67,basic
CCCN(C1=NCCN1)c1c(Br)cccc1Br,11,basic
CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11,basic
CCCN(CC(C)O)CC(C)O,8.9,basic
CCCN(CC(C)O)CC(O)CC,9,basic
CCCN(CC(O)CC)CC(O)CC,9,basic
CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,6.9,basic
CCCN(CC)c1ccccc1,6.39,basic
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CCN(Cc3ccccc3)C2=O)c1,6,basic
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)c1,3.6,basic
CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)c1,8.4,basic
CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)[C@H]2CCC[NH2+]2)c1,9.6,basic
CCCN(CCC)CCC,10.65,basic
CCCN(CCC)c1ccccc1,6.13,basic
CCCN(CCO)CC(C)O,8.9,basic
CCCN(CCO)CC(O)CC,9,basic
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,3.8,basic
CCCN(N)CCC,7,basic
CCCN1C=CC(=CC=C2C=CC(=O)C=C2)C=C1,8.5,basic
CCCN1CCCCC1,10.41,basic
CCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCNC(C)C,10.96,basic
CCCNCC(=O)Nc1c(C)cccc1C,8.01,basic
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,8.8,basic
CCCNCCC,11,basic
CCCNCc1ccc(C)cc1,9.98,basic
CCCNCc1ccccc1,9.62,basic
CCCNN,7.92,basic
CCCNc1ccccc1,5.12,basic
CCCNc1ncnc2c1cnn2C,4.25,basic
CCCOC(=O)NCCCN(C)C,9.48,basic
CCCOC(=O)[C@@H]([NH3+])CCC(=O)NCCSC(C)=O,8.8,basic
CCCOC(=O)c1ccc(N)cc1,2.49,basic
CCCOC(C(=O)OC1CC[NH+](C)CC1)(c1ccccc1)c1ccccc1,6.65,basic
CCCOC1(c2ccccc2)CN(C)CCO1,7.12,basic
CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,3.7,basic
CCCOCCCCCCn1cc(C[NH2+][C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,7.1,basic
CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,basic
CCCOc1noc2c1CNCC2,7.6,basic
CCCOc1noc2c1C[NH2+]CC2,7.6,basic
CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOC1)CC2,5.8,basic
CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOCC1)CC2,7.3,basic
CCCSC(=N)c1ccccc1,8.1,basic
CCCSC(=O)CCCc1c[nH]cn1,7.55,basic
CCCSC(=O)CCCc1cnc[nH]1,7.55,basic
CCCSCCN,9.43,basic
CCCSCCN(CC)CC,8.83,basic
CCCSCC[NH+](CC)CC,8.83,basic
CCCSCC[NH3+],9.43,basic
CCCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,5.52,basic
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,7.72,basic
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)[NH+](C)C1,7.65,basic
CCC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2,basic
CCC[NH+](C)C,9.62,basic
CCC[NH+](CC(C)O)CC(C)O,8.9,basic
CCC[NH+](CC(C)O)CC(O)CC,9,basic
CCC[NH+](CC(O)CC)CC(O)CC,9,basic
CCC[NH+](CC)C(CC)C(=O)Nc1c(C)cccc1C,6.62,basic
CCC[NH+](CCC)CC(=O)NC1c2ccccc2-c2ccccc21,7.28,basic
CCC[NH+](CCC)CC(=O)Nc1c(C)cccc1C,7.68,basic
CCC[NH+](CCC)CCC,10.47,basic
CCC[NH+](CCC)CCCNC(=O)CN=O,9.54,basic
CCC[NH+](CCC)CCc1c[nH]c2ccccc12,8.6,basic
CCC[NH+](CCC)Cc1no[n+]([O-])c1C#N,5.46,basic
CCC[NH+](CCCl)CCCl,6.7,basic
CCC[NH+](CCO)CC(C)O,8.9,basic
CCC[NH+](CCO)CC(O)CC,9,basic
CCC[NH+](CCc1c[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,7.9,basic
CCC[NH+]1CCCCC1,10.45,basic
CCC[NH+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,8.07,basic
CCC[NH+]1CCN(c2ccc(C#N)cc2)CC1,7.78,basic
CCC[NH+]1CCN(c2ccc(C(F)(F)F)cc2)CC1,7.84,basic
CCC[NH+]1CCN(c2ccc(C(N)=O)cc2)CC1,7.84,basic
CCC[NH+]1CCN(c2ccc(C)cc2)CC1,7.92,basic
CCC[NH+]1CCN(c2ccc(Cl)cc2)CC1,7.83,basic
CCC[NH+]1CCN(c2ccc(OC)cc2)CC1,7.88,basic
CCC[NH+]1CCN(c2cccc(C#N)c2)CC1,7.67,basic
CCC[NH+]1CCN(c2cccc(C(F)(F)F)c2)CC1,7.81,basic
CCC[NH+]1CCN(c2cccc(C(N)=O)c2)CC1,7.76,basic
CCC[NH+]1CCN(c2cccc(C)c2)CC1,7.83,basic
CCC[NH+]1CCN(c2cccc(Cl)c2)CC1,7.83,basic
CCC[NH+]1CCN(c2cccc(OC)c2)CC1,7.86,basic
CCC[NH+]1CCN(c2ccccc2)CC1,7.96,basic
CCC[NH+]1CCN(c2ccccc2C#N)CC1,7.92,basic
CCC[NH+]1CCN(c2ccccc2C(F)(F)F)CC1,8.8,basic
CCC[NH+]1CCN(c2ccccc2C(N)=O)CC1,8.14,basic
CCC[NH+]1CCN(c2ccccc2C)CC1,8.39,basic
CCC[NH+]1CCN(c2ccccc2Cl)CC1,8.07,basic
CCC[NH+]1CCN(c2ccccc2OC)CC1,8.29,basic
CCC[NH+]1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,8.78,basic
CCC[NH+]=C(N)[NH+]=C(N)Nc1ccc(Cl)cc1,10.78,basic
CCC[NH+]=C1Nc2ccccc2C(C)N1,10.7,basic
CCC[NH2+]C(C)(C)P(=O)(OCC)OCC,6.99,basic
CCC[NH2+]C(C)C,10.96,basic
CCC[NH2+]C(C)C(=O)Nc1ccccc1C,7.673333,basic
CCC[NH2+]C1c2ccccc2C=Cc2ccccc21,8.9,basic
CCC[NH2+]CC(=O)Nc1c(C)cccc1C,8.01,basic
CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,9.27,basic
CCC[NH2+]CCC,11.02,basic
CCC[NH2+]Cc1ccc(C)cc1,9.98,basic
CCC[NH2+]Cc1ccccc1,9.62,basic
CCC[NH3+],10.675,basic
CCCc1[nH]cc[nH+]1,8.02,basic
CCCc1ccc(C)nn1,4.25,basic
CCCc1ccc(CCC[NH+](C)C)cc1,10.54,basic
CCCc1ccccc1N,4.36,basic
CCCc1ccccn1,5.97,basic
CCCc1cccnn1,3.59,basic
CCCc1ccnc2c1ccc1cccnc12,5.45,basic
CCCc1ccncc1,6.05,basic
CCCc1nc2ccc(OCC)cc2[nH]1,6.12,basic
CCCc1ncc[nH]1,8.02,basic
CCCn1ccnc1C,8.2,basic
CCCn1ccnc1C=O,5.15,basic
CCCn1ccnc1CO,7.04,basic
CCCn1cnc2ccccc21,5.46,basic
CCCn1cncn1,2.36,basic
CCN,10.6,basic
CCN(C(=O)Cc1ccc(OC)cc1)C1CC[NH+](C(C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,7.8,basic
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CC[NH+](CC[C@@H](c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,8.4,basic
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CC[NH+](CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1,7.5,basic
CCN(C)C,10.16,basic
CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,8.8,basic
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,8.99,basic
CCN(C)C(=O)Oc1cccc([C@H](C)[NH+](C)C)c1,8.99,basic
CCN(C)C(=O)[C@H]1C[C@@H](c2ccc(C[NH+]3CCCC3)c(F)c2)C1,9.3,basic
CCN(C)CC,10.5,basic
CCN(C)Cc1no[n+]([O-])c1C#N,5.79,basic
CCN(C)N,7.3,basic
CCN(C)N(C)C,6.38,basic
CCN(C)N(C)CC,6.8,basic
CCN(C)N(CC)CC,7.3,basic
CCN(C)NC,6.85,basic
CCN(C)c1ccccc1,6.02,basic
CCN(C1=NCCN1)c1c(Br)cccc1Br,11.1,basic
CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.1,basic
CCN(CC)C(=O)C1(c2ccccc2)CC1C[NH3+],9.5,basic
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,6.8,basic
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC)c(C(C)=O)c1,9.66,basic
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,7.8,basic
CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1C[NH3+],9.6,basic
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1C[NH3+],9.6,basic
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1C[NH3+],9.7,basic
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@H]1C[NH3+],9.6,basic
CCN(CC)C(=O)c1cccnc1,3.5,basic
CCN(CC)C(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,6.75,basic
CCN(CC)C(C)CC(=O)Nc1c(C)cccc1C,9.03,basic
CCN(CC)C(C)CCC(=O)Nc1c(C)cccc1C,9.87,basic
CCN(CC)C(C)CCCC(=O)Nc1c(C)cccc1C,10.1,basic
CCN(CC)CC,10.9,basic
CCN(CC)CC#N,4.18,basic
CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,7.9,basic
CCN(CC)CC(=O)Nc1c(C)cccc1C,8.01,basic
CCN(CC)CC(=O)Nc1cc(C)ccc1C,7.92,basic
CCN(CC)CC(=O)Nc1ccc(C)cc1,8.13,basic
CCN(CC)CC(=O)Nc1ccc(C)cc1C,7.95,basic
CCN(CC)CC(=O)Nc1ccccc1,8,basic
CCN(CC)CC(=O)Nc1ccccc1C,7.95,basic
CCN(CC)CC(O)CO,9.77,basic
CCN(CC)CCC#N,7.62,basic
CCN(CC)CCC(=O)Nc1c(C)cccc1C,8.895,basic
CCN(CC)CCCC(=O)Nc1c(C)cccc1C,9.52,basic
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,10.1,basic
CCN(CC)CCCCC(=O)Nc1c(C)cccc1C,9.96,basic
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,9.4,basic
CCN(CC)CCNC(=O)c1ccc(N)cc1,9.32,basic
CCN(CC)CCNc1nc2c(=O)c3cc(C)ccc3[nH]c2s1,8.4,basic
CCN(CC)CCNc1nc2c(=O)c3cc(F)ccc3[nH]c2s1,8.3,basic
CCN(CC)CCNc1nc2c(=O)c3ccccc3[nH]c2s1,9.3,basic
CCN(CC)CCO,9.87,basic
CCN(CC)CCOC(=O)c1ccc(N)cc1,9.04,basic
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,9,basic
CCN(CC)CCS(=O)(=O)c1ccc(OC)c(OC)c1OC,7.41,basic
CCN(CC)CCSC,9.62,basic
CCN(CC)CCSC(C)C,9.32,basic
CCN(CC)CCSCC(C)C,8.83,basic
CCN(CC)CC[NH2+]C(N=O)c1nc(-c2ccccc2)no1,9.85,basic
CCN(CC)Cc1cn2nc(-c3ccccc3)cc(C)c2n1,8.79,basic
CCN(CC)N(C)C,6.88,basic
CCN(CC)N(CC)CC,7.31,basic
CCN(CC)NC,7.14,basic
CCN(CC)c1ccc(C)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,5.86,basic
CCN(CC)c1ccc(C)cc1,7.18,basic
CCN(CC)c1ccc(OC)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,6.01,basic
CCN(CC)c1ccccc1,6.57,basic
CCN(CC)c1ccccc1C,7.18,basic
CCN(CC)c1ccccn1,7.32,basic
CCN(CCC#N)CCC#N,4.55,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(C)cc1,7.4,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1,7.4,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccccc1,7.4,basic
CCN(CCC[NH+]1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(C)cc1,7.4,basic
CCN(CCC[NH+]1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1,7.4,basic
CCN(CCC[NH+]1CCc2cc(OC)ccc2C1)S(=O)(=O)c1cccc2ccccc12,7.4,basic
